name_game,year,recommend_count
ALIEN SWARM,2013,16
ALIEN SWARM,2014,31
ALIEN SWARM,2015,8
ALIEN: ISOLATION,2014,15
ALIEN: ISOLATION,2015,13
ALIENS VERSUS PREDATOR CLASSIC 2000,2013,1
ALIENS VERSUS PREDATOR CLASSIC 2000,2014,1
ALIENS VERSUS PREDATOR CLASSIC 2000,2015,1
ALIENS VS. PREDATOR(TM),2010,3
ALIENS VS. PREDATOR(TM),2012,2
ALIENS VS. PREDATOR(TM),2013,1
ALIENS VS. PREDATOR(TM),2014,5
ALIENS VS. PREDATOR(TM),2015,4
ALPAGES : THE FIVE BOOKS,2015,1
ALPHA PRIME,2015,1
ALPHA PROTOCOL(TM),2013,1
ALPHA PROTOCOL(TM),2015,4
ALPHADIA GENESIS,2015,1
ALTITUDE,2010,1
ALTITUDE,2011,1
ALTITUDE,2014,1
ALTITUDE,2015,1
ALWAYS SOMETIMES MONSTERS,2014,5
AMAZING FROG?,2015,2
AMAZING WORLD(TM),2014,4
AMAZING WORLD(TM),2015,1
AMERICA'S ARMY: PROVING GROUNDS,2013,3
AMERICA'S ARMY: PROVING GROUNDS,2014,9
AMERICA'S ARMY: PROVING GROUNDS,2015,2
AMERICAN TRUCK SIMULATOR,2016,12
AMERICAN TRUCK SIMULATOR - STEERING CREATIONS PACK,2016,1
AMNESIA(TM): MEMORIES,2015,1
AMNESIA: A MACHINE FOR PIGS,2013,2
AMNESIA: A MACHINE FOR PIGS,2014,2
AMNESIA: A MACHINE FOR PIGS,2015,1
AMNESIA: THE DARK DESCENT,2010,3
AMNESIA: THE DARK DESCENT,2011,1
AMNESIA: THE DARK DESCENT,2012,3
AMNESIA: THE DARK DESCENT,2013,4
AMNESIA: THE DARK DESCENT,2014,9
AMNESIA: THE DARK DESCENT,2015,6
AMONG RIPPLES,2015,3
AMONG THE SLEEP - ENHANCED EDITION,2014,2
AMONG THE SLEEP - ENHANCED EDITION,2015,3
AMONG THE SLEEP - ENHANCED EDITION,2017,2
AMPERSAND,2015,1
ANACHRONOX,2010,1
ANALOGUE: A HATE STORY,2012,1
ANALOGUE: A HATE STORY,2013,1
ANALOGUE: A HATE STORY,2014,2
ANALOGUE: A HATE STORY,2015,1
ANARCHY ARCADE,2014,7
ANARCHY ARCADE,2015,5
AND SO IT WAS,2016,1
AND YET IT MOVES,2015,1
ANGELS FALL FIRST,2015,1
ANGELS THAT KILL DEMO,2015,1
ANGRY BIRDS SPACE,2014,1
ANGRY VIDEO GAME NERD ADVENTURES,2013,1
ANGRY VIDEO GAME NERD ADVENTURES,2014,4
ANGRY VIDEO GAME NERD: THE MOVIE,2015,1
ANNA - EXTENDED EDITION,2014,2
ANNA'S QUEST,2015,1
ANOMALY 2,2014,1
ANOTHER WORLD - 20TH ANNIVERSARY EDITION,2014,1
ANTENNA,2016,3
ANTICHAMBER,2013,14
ANTICHAMBER,2014,14
ANTICHAMBER,2015,4
APB RELOADED,2011,13
APB RELOADED,2012,2
APB RELOADED,2013,15
APB RELOADED,2014,31
APB RELOADED,2015,19
APERTURE TAG: THE PAINT GUN TESTING INITIATIVE,2014,4
APERTURE TAG: THE PAINT GUN TESTING INITIATIVE,2015,3
APOCALYPSE HOTEL - THE POST-APOCALYPTIC HOTEL SIMULATOR!,2016,1
APOTHEON,2015,4
APOX,2011,1
ARCADECRAFT,2015,1
ARCANIA,2010,1
ARCHEAGE,2014,4
ARCHEAGE,2015,7
ARCHEBLADE(TM),2013,5
ARCHEBLADE(TM),2014,13
ARCHEBLADE(TM),2015,10
ARENA WARS 2,2014,2
ARK: SCORCHED EARTH - EXPANSION PACK,2016,2
ARK: SURVIVAL EVOLVED,2015,122
ARK: SURVIVAL EVOLVED,2017,56
ARK: SURVIVAL OF THE FITTEST,2017,6
ARMA 2,2013,2
ARMA 2,2014,3
ARMA 2: OPERATION ARROWHEAD,2010,4
ARMA 2: OPERATION ARROWHEAD,2011,2
ARMA 2: OPERATION ARROWHEAD,2012,10
ARMA 2: OPERATION ARROWHEAD,2013,18
ARMA 2: OPERATION ARROWHEAD,2014,24
ARMA 2: OPERATION ARROWHEAD,2015,14
ARMA 3,2013,68
ARMA 3,2014,69
ARMA 3,2015,65
ARMA 3 APEX,2016,3
ARMA 3 MARKSMEN,2015,3
ARMA 3 ZEUS,2015,1
ARMA II: DAYZ MOD,2013,7
ARMA II: DAYZ MOD,2014,11
ARMA II: DAYZ MOD,2015,1
ARMA: COLD WAR ASSAULT,2011,2
ARMA: COLD WAR ASSAULT,2014,3
ARMA: GOLD EDITION,2015,1
ARMED WITH WINGS: REARMED,2015,1
ARMELLO,2015,5
ARMELLO - USURPERS HERO PACK,2016,1
ARMIKROG,2015,1
ASRECORP,2016,1
ASSASSIN'S CREED 2 DELUXE EDITION,2010,2
ASSASSIN'S CREED 2 DELUXE EDITION,2013,2
ASSASSIN'S CREED 2 DELUXE EDITION,2014,12
ASSASSIN'S CREED 2 DELUXE EDITION,2015,7
ASSASSIN'S CREED FREEDOM CRY,2014,1
ASSASSIN'S CREED FREEDOM CRY,2015,2
ASSASSIN'S CREED(R) BROTHERHOOD,2011,2
ASSASSIN'S CREED(R) BROTHERHOOD,2014,5
ASSASSIN'S CREED(R) CHRONICLES: CHINA,2015,1
ASSASSIN'S CREED(R) III,2012,2
ASSASSIN'S CREED(R) III,2013,7
ASSASSIN'S CREED(R) III,2014,5
ASSASSIN'S CREED(R) III,2015,2
ASSASSIN'S CREED(R) IV BLACK FLAG(TM),2013,23
ASSASSIN'S CREED(R) IV BLACK FLAG(TM),2014,14
ASSASSIN'S CREED(R) IV BLACK FLAG(TM),2015,1
ASSASSIN'S CREED(R) LIBERATION HD,2014,1
ASSASSIN'S CREED(R) ROGUE,2015,6
ASSASSIN'S CREED(R) SYNDICATE,2015,2
ASSASSIN'S CREED(R) UNITY,2014,14
ASSASSIN'S CREED(R) UNITY,2015,5
ASSASSIN'S CREED(TM): DIRECTOR'S CUT EDITION,2010,1
ASSASSIN'S CREED(TM): DIRECTOR'S CUT EDITION,2014,2
ASSASSIN'S CREED(TM): DIRECTOR'S CUT EDITION,2015,1
ASSAULT ANDROID CACTUS,2015,3
ASSETTO CORSA,2010,2
ASSETTO CORSA,2013,1
ASSETTO CORSA,2014,8
ASSETTO CORSA,2015,3
ASTEBREED: DEFINITIVE EDITION,2014,2
ASTROLORDY: OBLAKO OORTA,2015,1
ATLAS REACTOR,2016,1
ATOM ZOMBIE SMASHER,2011,3
ATOM ZOMBIE SMASHER,2012,1
ATULOS ONLINE,2016,1
AUDIOSHIELD,2010,4
AUDIOSURF,2010,2
AUDIOSURF,2011,5
AUDIOSURF,2012,2
AUDIOSURF,2013,11
AUDIOSURF,2014,8
AUDIOSURF,2015,5
AUDIOSURF 2,2013,5
AUDIOSURF 2,2014,4
AUDIOSURF 2,2015,3
AURA KINGDOM,2010,1
AURA KINGDOM,2014,9
AURA KINGDOM,2015,7
AUTOMATION - THE CAR COMPANY TYCOON GAME,2015,3
AVERNUM 2: CRYSTAL SOULS,2015,1
AVIARY ATTORNEY,2015,3
AVOID - SENSORY OVERLOAD,2014,1
AWESOMENAUTS - ROCKSTAR ANNOUNCER,2015,1
AWESOMENAUTS - THE 2D MOBA,2012,9
AWESOMENAUTS - THE 2D MOBA,2013,27
AWESOMENAUTS - THE 2D MOBA,2014,64
AWESOMENAUTS - THE 2D MOBA,2015,17
AWESOMENAUTS - WRAITHLORD SCOOP ANNOUNCER,2015,1
AXIOM VERGE,2015,1
AXIS GAME FACTORY'S AGFPRO - DRONE KOMBAT FPS MULTIPLAYER,2015,1
AXIS GAME FACTORY'S AGFPRO - VOXEL SCULPT DLC,2015,1
AXIS GAME FACTORY'S AGFPRO BATTLEMAT MULTI-PLAYER DLC,2015,1
AXIS GAME FACTORY'S AGFPRO FANTASY SIDE-SCROLLER PLAYER,2015,1
AXIS GAME FACTORY'S AGFPRO V3,2015,1
AXIS GAME FACTORY'S AGFPRO ZOMBIE FPS PLAYER DLC,2015,1
AXYOS,2015,1
BACK TO DINOSAUR ISLAND,2015,1
BACK TO THE FUTURE: THE GAME,2013,1
BACK TO THE FUTURE: THE GAME,2014,2
BACK TO THE FUTURE: THE GAME,2015,1
BAD RATS: THE RATS' REVENGE,2010,11
BAD RATS: THE RATS' REVENGE,2013,4
BAD RATS: THE RATS' REVENGE,2014,17
BAD RATS: THE RATS' REVENGE,2015,30
BAD RATS: THE RATS' REVENGE DEMO,2010,1
BALDUR'S GATE: ENHANCED EDITION,2013,1
BALDUR'S GATE: ENHANCED EDITION,2014,1
BALDUR'S GATE: ENHANCED EDITION,2015,1
BALLISTIC OVERKILL,2015,1
BALLPOINT UNIVERSE - INFINITE,2013,1
BALLPOINT UNIVERSE - INFINITE,2014,1
BANISHED,2014,30
BANISHED,2015,10
BARBARA-IAN,2017,1
BARDBARIAN,2015,1
BASEMENT,2015,1
BASTION,2011,11
BASTION,2012,9
BASTION,2013,13
BASTION,2014,25
BASTION,2015,9
BATMAN - THE TELLTALE SERIES,2016,8
BATMAN(TM): ARKHAM KNIGHT,2015,29
BATMAN(TM): ARKHAM ORIGINS,2013,16
BATMAN(TM): ARKHAM ORIGINS,2014,26
BATMAN(TM): ARKHAM ORIGINS,2015,13
BATMAN: ARKHAM ASYLUM GAME OF THE YEAR EDITION,2010,4
BATMAN: ARKHAM ASYLUM GAME OF THE YEAR EDITION,2012,1
BATMAN: ARKHAM ASYLUM GAME OF THE YEAR EDITION,2013,8
BATMAN: ARKHAM ASYLUM GAME OF THE YEAR EDITION,2014,6
BATMAN: ARKHAM ASYLUM GAME OF THE YEAR EDITION,2015,10
BATMAN: ARKHAM CITY - GAME OF THE YEAR EDITION,2012,5
BATMAN: ARKHAM CITY - GAME OF THE YEAR EDITION,2013,18
BATMAN: ARKHAM CITY - GAME OF THE YEAR EDITION,2014,29
BATMAN: ARKHAM CITY - GAME OF THE YEAR EDITION,2015,15
BATTLE BROTHERS,2017,1
BATTLE CHESS: GAME OF KINGS(TM),2014,1
BATTLE FOR BLOOD - EPIC BATTLES WITHIN 30 SECONDS!,2015,1
BATTLE ISLANDS,2014,5
BATTLE ISLANDS,2015,1
BATTLE OF EMPIRES : 1914-1918,2015,2
BATTLE OF EMPIRES : 1914-1918 -  BRITISH EMPIRE,2015,1
BATTLEBLOCK THEATER(R),2014,83
BATTLEBLOCK THEATER(R),2015,37
BATTLEBORN,2016,7
BATTLEFIELD: BAD COMPANY(TM) 2,2010,2
BATTLEFIELD: BAD COMPANY(TM) 2,2011,3
BATTLEFIELD: BAD COMPANY(TM) 2,2013,3
BATTLEFIELD: BAD COMPANY(TM) 2,2014,18
BATTLEFIELD: BAD COMPANY(TM) 2,2015,5
BATTLEFLEET GOTHIC: ARMADA,2016,1
BATTLEPATHS,2014,1
BATTLEPILLARS GOLD EDITION,2014,2
BATTLESTATIONS PACIFIC,2014,1
BATTLESTATIONS PACIFIC,2015,1
BATTLESTICK,2016,1
BATTLEVOID: HARBINGER,2016,1
BEAMNG.DRIVE,2014,3
BEAMNG.DRIVE,2015,8
BEARZERKERS,2015,1
BEAT HAZARD,2010,1
BEAT HAZARD,2011,3
BEAT HAZARD,2012,1
BEAT HAZARD,2013,4
BEAT HAZARD,2014,5
BEAT HAZARD,2015,5
BEATBUDDY: TALE OF THE GUARDIANS,2014,1
BEEP,2015,1
BEFORE THE ECHO,2011,1
BEFORE THE ECHO,2015,1
BESIEGE,2015,59
BETRAYER,2013,1
BETTER LATE THAN DEAD,2015,2
BEYOND GOOD AND EVIL(TM),2014,1
BIERZERKERS,2016,1
BIG FISH LEGEND,2015,1
BIG THINKERS 1ST GRADE,2015,1
BINARY DOMAIN,2013,1
BINARY DOMAIN,2014,1
BINDING OF ISAAC: WRATH OF THE LAMB,2013,1
BINDING OF ISAAC: WRATH OF THE LAMB,2014,2
BINDING OF ISAAC: WRATH OF THE LAMB,2015,1
BIONIC DUES,2015,2
BIOS,2015,1
BIOSHOCK INFINITE,2013,62
BIOSHOCK INFINITE,2014,111
BIOSHOCK INFINITE,2015,39
BIOSHOCK INFINITE - SEASON PASS,2015,1
BIOSHOCK INFINITE: BURIAL AT SEA - EPISODE ONE,2015,1
BIOSHOCK INFINITE: CLASH IN THE CLOUDS,2015,1
BIOSHOCK(R) 2,2010,2
BIOSHOCK(R) 2,2012,1
BIOSHOCK(R) 2,2013,1
BIOSHOCK(R) 2,2014,5
BIOSHOCK(R) 2,2015,4
BIOSHOCK(TM),2010,7
BIOSHOCK(TM),2011,1
BIOSHOCK(TM),2012,1
BIOSHOCK(TM),2013,9
BIOSHOCK(TM),2014,26
BIOSHOCK(TM),2015,8
BIOSHOCK(TM) REMASTERED,2016,5
BIRD ASSASSIN,2014,1
BIT BLASTER XL,2016,6
BIT DUNGEON II,2014,1
BIT.TRIP BEAT,2013,1
BIT.TRIP PRESENTS... RUNNER2: FUTURE LEGEND OF RHYTHM ALIEN,2013,2
BIT.TRIP PRESENTS... RUNNER2: FUTURE LEGEND OF RHYTHM ALIEN,2014,8
BIT.TRIP PRESENTS... RUNNER2: FUTURE LEGEND OF RHYTHM ALIEN,2015,2
BIT.TRIP RUNNER,2011,2
BIT.TRIP RUNNER,2013,2
BIT.TRIP RUNNER,2014,6
BIT.TRIP RUNNER,2015,1
BITARDIA,2015,1
BLACK MESA,2015,17
BLACKGUARDS,2015,1
BLACKGUARDS: UNTOLD LEGENDS,2015,1
BLACKLIGHT: RETRIBUTION,2012,16
BLACKLIGHT: RETRIBUTION,2013,23
BLACKLIGHT: RETRIBUTION,2014,44
BLACKLIGHT: RETRIBUTION,2015,18
BLADE KITTEN,2014,2
BLADE SYMPHONY,2013,1
BLADE SYMPHONY,2014,9
BLADES OF TIME,2013,2
BLADES OF TIME,2015,2
BLAZBLUE: CALAMITY TRIGGER,2014,6
BLEED,2013,2
BLEED,2014,3
BLEED,2015,1
BLENDER,2015,7
BLOCK N LOAD,2014,3
BLOCK N LOAD,2015,21
BLOCK N LOAD - 560 PLATINUM BAR PACK,2015,1
BLOCK'HOOD,2017,2
BLOCKADE 3D,2014,4
BLOCKADE 3D,2015,18
BLOCKLAND,2010,1
BLOCKLAND,2013,1
BLOCKLAND,2014,8
BLOCKLAND,2015,2
BLOCKS THAT MATTER,2014,1
BLOCKSTORM,2014,2
BLOCKSTORM,2015,11
BLOOD AND BACON,2016,9
BLOOD BOWL 2,2015,2
BLOOD: ONE UNIT WHOLE BLOOD,2015,1
BLOODLINE CHAMPIONS,2015,1
BLOODRAYNE BETRAYAL,2015,1
BLOODY GOOD TIME,2014,2
BLOODY TRAPLAND,2013,3
BLOODY TRAPLAND,2014,2
BLOODY TRAPLAND,2015,1
BLOONS TD 5,2014,4
BLOONS TD 5,2015,6
BLOONS TD BATTLES,2016,1
BLUES AND BULLETS,2015,1
BOB WAS HUNGRY,2015,1
BOO BUNNY PLAGUE,2014,1
BORDERLANDS,2010,3
BORDERLANDS,2011,5
BORDERLANDS,2012,7
BORDERLANDS,2013,8
BORDERLANDS,2014,9
BORDERLANDS,2015,6
BORDERLANDS 2,2012,46
BORDERLANDS 2,2013,76
BORDERLANDS 2,2014,254
BORDERLANDS 2,2015,77
BORDERLANDS 2 - PSYCHO PACK,2013,1
BORDERLANDS 2 SEASON PASS,2015,1
BORDERLANDS 2: ASSASSIN SUPREMACY PACK,2014,1
BORDERLANDS 2: CREATURE SLAUGHTERDOME,2015,1
BORDERLANDS 2: HEADHUNTER 2: WATTLE GOBBLER,2014,1
BORDERLANDS 2: MECHROMANCER PACK,2012,1
BORDERLANDS 2: MR. TORGUE'S CAMPAIGN OF CARNAGE,2012,1
BORDERLANDS 2: MR. TORGUE'S CAMPAIGN OF CARNAGE,2015,1
BORDERLANDS 2: TINY TINA'S ASSAULT ON DRAGON KEEP,2013,1
BORDERLANDS 2: TINY TINA'S ASSAULT ON DRAGON KEEP,2015,1
BORDERLANDS: THE PRE-SEQUEL,2014,34
BORDERLANDS: THE PRE-SEQUEL,2015,23
BORDERLANDS: THE ZOMBIE ISLAND OF DR. NED,2012,1
BORDERLESS GAMING,2015,1
BOREALIS,2015,1
BORING MAN - ONLINE TACTICAL STICKMAN COMBAT,2014,4
BORING MAN - ONLINE TACTICAL STICKMAN COMBAT,2015,8
BORING MAN: PREMIUM!,2015,1
BOSSCONSTRUCTOR,2015,1
BOSTON LOCKDOWN CAMPAIGN BOOK PDF,2015,1
BOTANICULA,2014,1
BRAID,2011,2
BRAID,2012,1
BRAID,2014,1
BRAWLHALLA,2014,2
BRAWLHALLA,2015,22
BRAWLHALLA,2017,41
BREACH & CLEAR,2014,2
BREACH & CLEAR,2015,1
BREACH & CLEAR: DEADLINE REBIRTH (2016),2015,1
BREATH OF DEATH VII,2011,1
BRICK-FORCE,2014,1
BRICK-FORCE,2015,2
BRIDGE CONSTRUCTOR,2014,1
BRIDGE CONSTRUCTOR,2015,1
BRIGADOR: UP-ARMORED EDITION,2016,2
BRINK,2011,2
BRINK,2012,1
BRINK,2014,1
BROFORCE,2014,28
BROFORCE,2015,37
BROKEN AGE,2014,10
BROKEN AGE,2015,3
BROKEN SWORD 5 - THE SERPENT'S CURSE,2013,1
BROKEN SWORD: DIRECTOR'S CUT,2010,1
BROKEN SWORD: DIRECTOR'S CUT,2014,1
BROTHERS - A TALE OF TWO SONS,2013,8
BROTHERS - A TALE OF TWO SONS,2014,22
BROTHERS - A TALE OF TWO SONS,2015,4
BROTHERS IN ARMS: HELL'S HIGHWAY(TM),2012,1
BROTHERS IN ARMS: HELL'S HIGHWAY(TM),2014,1
BROTHERS IN ARMS: HELL'S HIGHWAY(TM),2015,1
BRUTAL LEGEND,2013,3
BRUTAL LEGEND,2014,11
BULB BOY,2015,1
BULLY: SCHOLARSHIP EDITION,2010,5
BULLY: SCHOLARSHIP EDITION,2013,1
BULLY: SCHOLARSHIP EDITION,2014,11
BULLY: SCHOLARSHIP EDITION,2015,4
BUNCH OF HEROES,2015,1
BUNKER PUNKS,2016,1
BURIED: AN INTERACTIVE STORY,2016,1
BURN ZOMBIE BURN!,2011,1
BURNING MAN: BEYOND BLACK ROCK,2015,1
BURNOUT PARADISE: THE ULTIMATE BOX,2011,1
BURNOUT PARADISE: THE ULTIMATE BOX,2012,1
BURNOUT PARADISE: THE ULTIMATE BOX,2013,6
BURNOUT PARADISE: THE ULTIMATE BOX,2014,15
BURNOUT PARADISE: THE ULTIMATE BOX,2015,4
BURSTFIRE,2015,1
BUS DRIVER,2015,1
BUS SIMULATOR 16,2016,2
CAESARIA,2015,2
CALENDULA,2016,1
CALL OF CTHULHU(R): DARK CORNERS OF THE EARTH,2010,1
CALL OF DUTY(R),2012,1
CALL OF DUTY(R),2014,1
CALL OF DUTY(R),2015,2
CALL OF DUTY(R) 2,2014,1
CALL OF DUTY(R) 4: MODERN WARFARE(R),2010,2
CALL OF DUTY(R) 4: MODERN WARFARE(R),2012,2
CALL OF DUTY(R) 4: MODERN WARFARE(R),2013,2
CALL OF DUTY(R) 4: MODERN WARFARE(R),2014,4
CALL OF DUTY(R) 4: MODERN WARFARE(R),2015,3
CALL OF DUTY(R): ADVANCED WARFARE - GOLD EDITION,2014,16
CALL OF DUTY(R): ADVANCED WARFARE - GOLD EDITION,2015,17
CALL OF DUTY(R): ADVANCED WARFARE - SEASON PASS,2014,1
CALL OF DUTY(R): BLACK OPS,2010,1
CALL OF DUTY(R): BLACK OPS,2011,3
CALL OF DUTY(R): BLACK OPS,2012,3
CALL OF DUTY(R): BLACK OPS,2013,2
CALL OF DUTY(R): BLACK OPS,2014,10
CALL OF DUTY(R): BLACK OPS,2015,7
CALL OF DUTY(R): BLACK OPS - REZURRECTION CONTENT PACK,2014,1
CALL OF DUTY(R): BLACK OPS - REZURRECTION CONTENT PACK,2015,1
CALL OF DUTY(R): BLACK OPS II,2012,8
CALL OF DUTY(R): BLACK OPS II,2013,11
CALL OF DUTY(R): BLACK OPS II,2014,52
CALL OF DUTY(R): BLACK OPS II,2015,16
CALL OF DUTY(R): BLACK OPS II - APOCALYPSE,2014,1
CALL OF DUTY(R): BLACK OPS II - APOCALYPSE,2015,2
CALL OF DUTY(R): BLACK OPS II - AQUA PERSONALIZATION PACK,2015,1
CALL OF DUTY(R): BLACK OPS II - KAWAII PERSONALIZATION PACK,2014,1
CALL OF DUTY(R): BLACK OPS II - NUKETOWN ZOMBIES MAP,2014,2
CALL OF DUTY(R): BLACK OPS III,2015,67
CALL OF DUTY(R): BLACK OPS III - SEASON PASS,2015,1
CALL OF DUTY(R): GHOSTS,2013,9
CALL OF DUTY(R): GHOSTS,2014,25
CALL OF DUTY(R): GHOSTS,2015,6
CALL OF DUTY(R): GHOSTS - SQUAD PACK - RESISTANCE,2014,1
CALL OF DUTY(R): MODERN WARFARE(R) 2,2010,9
CALL OF DUTY(R): MODERN WARFARE(R) 2,2011,1
CALL OF DUTY(R): MODERN WARFARE(R) 2,2012,7
CALL OF DUTY(R): MODERN WARFARE(R) 2,2013,9
CALL OF DUTY(R): MODERN WARFARE(R) 2,2014,27
CALL OF DUTY(R): MODERN WARFARE(R) 2,2015,19
CALL OF DUTY: BLACK OPS - MAC EDITION,2013,1
CALL OF DUTY: BLACK OPS - MAC EDITION,2014,1
CALL OF DUTY: BLACK OPS - MAC EDITION,2015,1
CALL OF DUTY: UNITED OFFENSIVE,2013,1
CALL OF DUTY: UNITED OFFENSIVE,2015,1
CALL OF DUTY: WORLD AT WAR,2010,10
CALL OF DUTY: WORLD AT WAR,2012,1
CALL OF DUTY: WORLD AT WAR,2013,7
CALL OF DUTY: WORLD AT WAR,2014,13
CALL OF DUTY: WORLD AT WAR,2015,14
CALL OF JUAREZ(R) GUNSLINGER,2013,12
CALL OF JUAREZ(R) GUNSLINGER,2014,14
CALL OF JUAREZ(R) GUNSLINGER,2015,9
CALL TO ARMS,2015,4
CALL TO ARMS,2016,1
CANABALT,2015,1
CANYON CAPERS,2014,2
CAPSIZED,2013,1
CARD HUNTER,2015,6
CARDS AND CASTLES,2015,3
CARGO COMMANDER,2013,1
CARGO! THE QUEST FOR GRAVITY,2013,1
CARGO! THE QUEST FOR GRAVITY,2014,1
CARMAGEDDON MAX PACK,2010,1
CARPE DIEM,2015,16
CARRIER COMMAND: GAEA MISSION,2014,1
CAST OF THE SEVEN GODSENDS - REDUX,2015,1
CASTAWAY PARADISE - TOWN BUILDING SIM,2015,1
CASTER,2010,1
CASTER,2015,5
CASTLE,2015,1
CASTLE CRASHERS - BLACKSMITH PACK,2015,4
CASTLE CRASHERS - PINK KNIGHT PACK,2015,2
CASTLE CRASHERS(R),2012,14
CASTLE CRASHERS(R),2013,18
CASTLE CRASHERS(R),2014,75
CASTLE CRASHERS(R),2015,41
CASTLE IN THE DARKNESS,2015,1
CASTLE STORY,2013,1
CASTLE STORY,2014,1
CASTLE STORY,2017,2
CASTLESTORM,2014,1
CASTLEVANIA: LORDS OF SHADOW - ULTIMATE EDITION,2013,1
CASTLEVANIA: LORDS OF SHADOW 2,2014,1
CASTLEVANIA: LORDS OF SHADOW 2,2015,1
