id_game,name_game,anio
6200,GHOST MASTER(R),2003
6210,VEGAS: MAKE IT BIG(TM),2006
6300,DREAMFALL: THE LONGEST JOURNEY,2006
2990,FLATOUT 2(TM),2006
6220,FLATOUT,2005
6510,LOST PLANET(TM): EXTREME CONDITION,2007
3980,CIVCITY: ROME,2006
1700,ARX FATALIS,2002
6310,THE LONGEST JOURNEY,2000
3990,CIVILIZATION IV(R): WARLORDS,2006
7610,RAILROAD TYCOON 3,2003
7600,SID MEIER'S RAILROADS!,2006
7620,RAILROAD TYCOON II PLATINUM,1998
2540,RIP - TRILOGY(TM),2007
7650,X-COM: TERROR FROM THE DEEP,1995
8000,TOMB RAIDER: ANNIVERSARY,2007
6550,DEVIL MAY CRY(R) 3 SPECIAL EDITION,2006
8200,SAM & MAX 101: CULTURE SHOCK,2006
2290,FINAL DOOM,1996
2570,VIGIL: BLOOD BITTERNESS(TM),2007
8210,SAM & MAX 102: SITUATION: COMEDY,2006
2280,ULTIMATE DOOM,1995
9160,MASTER LEVELS FOR DOOM II,1995
2300,DOOM II,1994
2270,WOLFENSTEIN 3D,1994
9010,RETURN TO CASTLE WOLFENSTEIN,2001
9040,QUAKE MISSION PACK 1: SCOURGE OF ARMAGON,1997
9000,SPEAR OF DESTINY,1993
3810,BLOODRAYNE,2003
9030,QUAKE MISSION PACK 2: DISSOLUTION OF ETERNITY,2007
2310,QUAKE,2007
3230,GENESIS RISING,2007
9310,"WARHAMMER(R) 40,000: DAWN OF WAR(R) - WINTER ASSAULT",2006
7670,BIOSHOCK(TM),2007
4570,"WARHAMMER(R) 40,000: DAWN OF WAR(R) - GAME OF THE YEAR EDITION",2006
4580,"WARHAMMER(R) 40,000: DAWN OF WAR(R) - DARK CRUSADE",2006
4760,ROME: TOTAL WAR(TM) - COLLECTION,2004
4770,ROME: TOTAL WAR(TM) - ALEXANDER,2006
50970,MYSTERY CASE FILES: MADAME FATE(R),2007
12170,GRAND THEFT AUTO,1998
12180,GRAND THEFT AUTO 2,1999
12130,MANHUNT,2004
12160,MIDNIGHT CLUB 2,2003
12150,MAX PAYNE 2: THE FALL OF MAX PAYNE,2003
7000,TOMB RAIDER: LEGEND,2006
12140,MAX PAYNE,2001
17480,COMMAND & CONQUER: RED ALERT 3,2008
12500,PUZZLEQUEST: CHALLENGE OF THE WARLORDS,2007
12310,CULPA INNATA,2007
12510,PRISON TYCOON 3(TM): LOCKDOWN,2007
12530,HUNTING UNLIMITED(TM) 2008,2007
12520,18 WHEELS OF STEEL: AMERICAN LONG HAUL,2007
8100,CONFLICT: DENIED OPS,2008
2780,ARMA: COMBAT OPERATIONS,2007
9730,TYCOON CITY: NEW YORK,2006
9710,DESPERADOS 2: COOPER'S REVENGE,2006
9800,DEATH TO SPIES,2007
9760,ACT OF WAR: HIGH TREASON,2006
2700,ROLLERCOASTER TYCOON(R) 3: PLATINUM,2006
2710,ACT OF WAR: DIRECT ACTION,2005
13200,UNREAL 2: THE AWAKENING,2003
13250,UNREAL GOLD,1998
13000,NINJA REFLEX: STEAMWORKS EDITION,2008
13560,TOM CLANCY'S SPLINTER CELL(R),2003
13520,FAR CRY(R),2004
13240,UNREAL TOURNAMENT: GAME OF THE YEAR EDITION,2000
13540,TOM CLANCY'S RAINBOW SIX(R) VEGAS,2006
15210,SILENT HUNTER(R) III,2005
16180,VIRTUAL VILLAGERS - THE SECRET CITY,2008
3520,MYSTERY P.I.(TM) - THE VEGAS HEIST,2008
15970,LUXOR,2008
15950,REAXXION,2008
15960,LITTLE FARM,2008
15900,7 WONDERS II,2008
15910,LUXOR AMUN RISING,2005
15930,LUXOR 3,2007
15160,PETZ(R) HORSEZ(R) 2,2007
15920,LUXOR 2,2005
15080,RAYMAN RAVING RABBIDS(TM),2007
15200,SILENT HUNTER(R): WOLVES OF THE PACIFIC,2007
15320,IL-2 STURMOVIK: 1946,2006
15240,SILENT HUNTER(R): WOLVES OF THE PACIFIC U-BOAT MISSIONS,2008
8310,BONE: OUT FROM BONEVILLE,2005
12600,MIDNIGHT OUTLAW: 6 HOURS TO SUNUP,2005
8320,BONE: THE GREAT COW RACE,2006
12590,SPRINT CARS ROAD TO KNOXVILLE,2008
12580,DR. DAISY PET VET,2008
12560,RIDE! CARNIVAL TYCOON,2007
12570,HOT DISH,2008
12540,MAHJONGG INVESTIGATIONS: UNDER SUSPICION,2007
11050,DRACULA ORIGIN,2008
10520,BEIJING 2008(TM) - THE OFFICIAL VIDEO GAME OF THE OLYMPIC GAMES,2008
11040,SHERLOCK HOLMES - NEMESIS,2008
19500,ETERNITY'S CHILD,2008
11260,PACIFIC STORM ALLIES,2007
19200,TANK UNIVERSAL,2008
12360,FLATOUT: ULTIMATE CARNAGE,2008
15710,ODDWORLD: ABE'S EXODDUS(R),1998
15700,ODDWORLD: ABE'S ODDYSEE(R),1997
8660,GTR EVOLUTION EXPANSION PACK FOR RACE 07,2008
7770,X-COM: ENFORCER,2001
7660,X-COM: APOCALYPSE,1997
7760,X-COM: UFO DEFENSE,1993
20510,S.T.A.L.K.E.R.: CLEAR SKY,2008
17330,CRYSIS WARHEAD(R),2008
17300,CRYSIS,2007
7730,X-COM: INTERCEPTOR,1998
20900,THE WITCHER: ENHANCED EDITION DIRECTOR'S CUT,2008
1530,MULTIWINIA,2008
8690,STCC - THE GAME 1 - EXPANSION PACK FOR RACE 07,2008
17120,CHILDREN OF THE NILE: ALEXANDRIA,2008
16810,SID MEIER'S CIVILIZATION IV: COLONIZATION,2008
19830,TOM CLANCY'S RAINBOW SIX(R) 3 GOLD,2003
21000,LEGO BATMAN,2008
4460,CITY LIFE 2008,2008
17140,HINTERLAND,2008
15390,BROTHERS IN ARMS: HELL'S HIGHWAY(TM),2008
21300,GRAVITRON 2,2008
3050,XPAND RALLY XTREME,2006
15380,HEROES OF MIGHT & MAGIC V: HAMMERS OF FATE,2006
19800,BROTHERS IN ARMS: EARNED IN BLOOD(TM),2005
15370,HEROES OF MIGHT & MAGIC V: TRIBES OF THE EAST,2007
19930,THE SETTLERS(R): RISE OF AN EMPIRE GOLD EDITION,2008
15350,BRAIN SPA,2007
19810,THE SUM OF ALL FEARS,2002
3540,PEGGLE(TM) NIGHTS,2008
22000,WORLD OF GOO,2008
2820,X3: TERRAN CONFLICT,2008
1230,MARE NOSTRUM,2008
18300,SPECTRABALL,2008
20200,GALACTIC BOWLING,2008
12200,BULLY: SCHOLARSHIP EDITION,2008
19900,FAR CRY(R) 2: FORTUNE'S EDITION,2008
11240,SPACE TRADER: MERCHANT MARINE,2008
256522,PRR WAGON PACK 01,2009
275144,"CLASS 421 LONDON SOUTH EAST ""JAFFA CAKE""",2009
256521,ATSF WAGON PACK 01,2009
222569,GP20 UNION PACIFIC ADD-ON LIVERY,2009
256535,UK VAN WAGON PACK,2009
256611,CSX SD70MAC ADD-ON LIVERY,2009
256576,CSX ES44AC ADD-ON LIVERY,2009
9480,SAINTS ROW 2,2009
17470,DEAD SPACE,2008
12770,RISE OF THE ARGONAUTS,2008
17410,MIRROR'S EDGE(TM),2009
18500,DEFENSE GRID: THE AWAKENING,2008
16450,F.E.A.R. 2: PROJECT ORIGIN,2009
15400,HARVEST: MASSIVE ENCOUNTER,2008
18600,MAYHEM INTERGALACTIC,2007
11340,LARVA MORTUS,2009
25830,KNIGHTS OF HONOR,2005
23460,CEVILLE,2009
10600,EMPIRE: TOTAL WAR(TM) - SPECIAL FORCES UNITS & BONUS CONTENT,2009
21010,WATCHMEN: THE END IS NIGH,2009
22180,PENUMBRA OVERTURE,2007
13210,UNREAL TOURNAMENT 3 BLACK,2007
12640,DRAKENSANG,2009
21600,AGE OF BOOTY(TM),2009
27020,THE GRAVEYARD,2008
24740,BURNOUT PARADISE: THE ULTIMATE BOX,2009
90047,ZOMBIE MASTER,2009
26000,THE MAW,2009
26006,THE MAW: RIVER REDIRECT,2009
26005,THE MAW: BRUTE FORCE,2009
11330,OBULIS,2009
27800,SPACE GIRAFFE,2009
9850,CODENAME: PANZERS - COLD WAR,2009
3600,ESCAPE ROSECLIFF ISLAND,2009
29580,GUILD WARS NIGHTFALL,2006
29540,GUILD WARS,2005
29560,GUILD WARS FACTIONS,2006
29570,GUILD WARS TRILOGY,2008
23700,PUZZLE KINGDOMS,2009
16060,SAMANTHA SWIFT AND THE GOLDEN TOUCH,2009
1930,TWO WORLDS EPIC EDITION,2009
18470,HELLDORADO,2009
7510,X-BLADES,2009
22200,ZENO CLASH,2009
26007,THE MAW: SPEEDER LANE,2009
25900,KING'S BOUNTY: THE LEGEND,2008
16200,VIRTUAL FAMILIES,2009
7840,DEATH TRACK(R): RESURRECTION,2009
8890,FREEDOM FORCE VS. THE THIRD REICH,2005
8880,FREEDOM FORCE,2002
34500,LIGHT OF ALTAIR,2009
1280,DARKEST HOUR: EUROPE '44-'45,2009
10150,PROTOTYPE(TM),2009
29160,BLUEBERRY GARDEN,0
12470,PORT ROYALE 2,2004
22340,CALL OF CTHULHU(R): DARK CORNERS OF THE EARTH,2006
22330,THE ELDER SCROLLS IV: OBLIVION(R) GAME OF THE YEAR EDITION,2007
22320,THE ELDER SCROLLS III: MORROWIND(R) GAME OF THE YEAR EDITION,2002
900883,THE ELDER SCROLLS IV: OBLIVION(R) GAME OF THE YEAR EDITION DELUXE,2009
12440,ANKH 2: HEART OF OSIRIS,2007
32710,ARMORED FIST 3,1999
32740,MIG-29 FULCRUM,1998
12460,BC KINGS,2008
21980,CALL OF JUAREZ(R): BOUND IN BLOOD,2009
31860,NANCY DREW(R): LEGEND OF THE CRYSTAL SKULL,2007
31900,NANCY DREW(R): THE CREATURE OF KAPU CAVE,2006
31920,NANCY DREW(R): THE PHANTOM OF VENICE,2008
31930,NANCY DREW(R): THE WHITE WOLF OF ICICLE CREEK,2007
35800,BRAINPIPE: A PLUNGE TO UNHUMANITY,2008
12690,HUNTING UNLIMITED 2010,2009
31170,TALES OF MONKEY ISLAND COMPLETE PACK,2009
21660,STREET FIGHTER(R) IV,2009
6080,THRILLVILLE(R): OFF THE RAILS(TM),2007
6010,INDIANA JONES(R) AND THE FATE OF ATLANTIS(TM),1992
6090,ARMED AND DANGEROUS(R),2003
6060,"STAR WARS: BATTLEFRONT 2 (CLASSIC, 2005)",2005
32310,INDIANA JONES(R) AND THE LAST CRUSADE(TM),1989
32330,LEGO(R) INDIANA JONES(TM): THE ORIGINAL ADVENTURES,2008
32360,THE SECRET OF MONKEY ISLAND: SPECIAL EDITION,2009
35300,WARFARE,2008
35310,CLUTCH,2009
31980,NANCY DREW(R): RANSOM OF THE SEVEN SHIPS,2009
31990,NANCY DREW(R): RANSOM OF THE SEVEN SHIPS DEMO,2009
10140,3D ULTRA(TM) MINIGOLF ADVENTURES,2006
10100,KING'S QUEST(TM) COLLECTION,2006
10130,TIMESHIFT(TM),2007
10110,SPACE QUEST(TM) COLLECTION,2006
1256,KILLING FLOOR OUTBREAK CHARACTER PACK,2009
10120,ACES OF THE GALAXY(TM),2008
33520,TROPICO RELOADED,2009
3610,MYSTERY P.I. - LOST IN LOS ANGELES,2009
21680,BIONIC COMMANDO: REARMED,2008
21670,BIONIC COMMANDO,2009
21030,WATCHMEN: THE END IS NIGH PART 2,2009
36000,FOREIGN LEGION: BUCKETS OF BLOOD,2009
32370,STAR WARS(TM) - KNIGHTS OF THE OLD REPUBLIC(TM),2003
29180,OSMOS,2009
38410,FALLOUT 2: A POST NUCLEAR ROLE PLAYING GAME,1998
38420,FALLOUT TACTICS: BROTHERHOOD OF STEEL,2001
38430,KINGPIN -- LIFE OF CRIME,1999
38440,SACRIFICE,2000
35050,MINI NINJAS DEMO,2009
31180,TALES OF MONKEY ISLAND COMPLETE PACK: CHAPTER 2 - THE SIEGE OF SPINNER CAY,2009
37960,JEWEL QUEST PACK,2009
38000,MAHJONG QUEST COLLECTION,2009
37400,"TIME GENTLEMEN, PLEASE! AND BEN THERE, DAN THAT! SPECIAL EDITION  DOUBLE PACK",2009
13570,TOM CLANCY'S SPLINTER CELL CHAOS THEORY(R),2005
11390,CRASH TIME 2,2009
34420,XIII CENTURY - GOLD EDITION,2009
43100,WORLD OF ZOO,2009
33730,18 WHEELS OF STEEL: EXTREME TRUCKER,2009
35000,MINI NINJAS,2009
39392,FREEZE TAG FUN PACK #2,2009
39391,FREEZE TAG FUN PACK #1,1999
37600,WINDOSILL,2009
24029,TRAIN SIMULATOR: COLTON & NORTHERN ROUTE ADD-ON,2009
32140,MIDNIGHT MYSTERIES,2009
31190,TALES OF MONKEY ISLAND COMPLETE PACK: CHAPTER 3 - LAIR OF THE LEVIATHAN,2009
32770,JOINT OPERATIONS: COMBINED ARMS GOLD,2009
208306,TRAIN SIMULATOR: US LOCO & ASSET PACK,2009
37300,DINERTOWN TYCOON,2009
208300,TRAIN SIMULATOR: EUROPEAN LOCO & ASSET PACK,2009
40300,RISEN,2009
35070,FLORA'S FRUIT FARM,2009
10606,EMPIRE: TOTAL WAR(TM) - THE WARPATH CAMPAIGN,2009
40700,MACHINARIUM,2009
24840,MEDAL OF HONOR: AIRBORNE,2007
24870,NEED FOR SPEED: SHIFT,2009
41500,TORCHLIGHT,2009
24800,COMMAND & CONQUER: RED ALERT 3 - UPRISING,2009
901735,THE STRONGHOLD COLLECTION,2009
42800,EAST INDIA COMPANY: PRIVATEER,2009
39560,PAINKILLER: RESURRECTION,2009
39550,SPELLFORCE 2 - ANNIVERSARY EDITION,2009
40330,SECRET FILES: TUNGUSKA,2009
40320,RUSH FOR BERLIN GOLD,2009
31200,TALES OF MONKEY ISLAND COMPLETE PACK: CHAPTER 4 - THE TRIAL AND EXECUTION OF GUYBRUSH THREEPWOOD,2009
3130,MEN OF WAR: RED TIDE,2009
41100,HAMMERFIGHT,2009
39540,SPELLFORCE - PLATINUM EDITION,2009
34640,MASSIVE ASSAULT: PHANTOM RENAISSANCE,2005
34630,MASSIVE ASSAULT,2003
42200,NANCY DREW(R) DOSSIER: RESORTING TO DANGER!,2009
41000,SERIOUS SAM HD: THE FIRST ENCOUNTER,2009
40340,SECRET FILES 2: PURITAS CORDIS,2009
17450,DRAGON AGE: ORIGINS,2009
37100,AZTAKA,2009
37500,MAGNETIS,2009
42810,FOR THE GLORY: A EUROPA UNIVERSALIS GAME,2009
10180,CALL OF DUTY(R): MODERN WARFARE(R) 2,2009
32440,LEGO(R) STAR WARS(TM) - THE COMPLETE SAGA,2009
11450,OVERLORD(TM),2007
12710,OVERLORD(TM): RAISING HELL,2008
24790,COMMAND & CONQUER 3: TIBERIUM WARS,2007
29120,YUMSTERS 2: AROUND THE WORLD,2008
24810,COMMAND & CONQUER 3: KANE'S WRATH,2009
41800,GRATUITOUS SPACE BATTLES,2009
45300,WINGS OF PREY,2009
41900,THE BARD'S TALE,2005
35420,DEFENCE ALLIANCE 2,2009
32430,STAR WARS(TM) - THE FORCE UNLEASHED(TM) ULTIMATE SITH EDITION,2009
22370,FALLOUT 3: GAME OF THE YEAR EDITION,2009
41802,GRATUITOUS SPACE BATTLES: THE TRIBE,2009
38080,BUILD-A-LOT,2007
38090,BUILD-A-LOT 2: TOWN OF THE YEAR,2008
38100,BUILD-A-LOT 3: PASSPORT TO EUROPE,2009
38070,COCONUT QUEEN,2009
38210,ROOGOO,2009
45700,DEVIL MAY CRY 4,2008
46410,AVENCAST: RISE OF THE MAGE,2010
38110,BUILD-A-LOT 4: POWER SOURCE,2009
17570,"PIRATES, VIKINGS, AND KNIGHTS II",2010
38130,FARM FRENZY 2,2008
38160,FARM FRENZY 3: AMERICAN PIE,2010
38150,FARM FRENZY 3,2009
38120,FARM FRENZY,2007
38140,FARM FRENZY: PIZZA PARTY,2009
36300,CAKE MANIA MAIN STREET(TM),2010
36310,WESTWARD(R) IV: ALL ABOARD,2010
36320,IRON ROSES,2010
37030,UFO: EXTRATERRESTRIALS GOLD,2010
32450,LEGO(R) INDIANA JONES(TM) 2: THE ADVENTURE CONTINUES,2010
34180,VANCOUVER 2010(TM) - THE OFFICIAL VIDEO GAME OF THE OLYMPIC WINTER GAMES,2010
44100,SUPER LASER  RACER,2010
25960,HEARTS OF IRON III: SOVIET INFANTRY PACK DLC,2010
46250,NECROVISION: LOST COMPANY,2010
38180,CRADLE OF PERSIA,2007
10695,ALIENS VS. PREDATOR SWARM MAP PACK,2010
41050,SERIOUS SAM CLASSIC: THE FIRST ENCOUNTER,2001
24055,TRAIN SIMULATOR: FORT KENT TO EAGLE LAKE ROUTE ADD-ON,2010
48700,MOUNT & BLADE: WARBAND,2010
39900,CONICLYSM,2010
49900,PLAIN SIGHT,2010
42120,LEAD AND GOLD: GANGS OF THE WILD WEST,2010
12220,GRAND THEFT AUTO: EPISODES FROM LIBERTY CITY,2010
45730,DARK VOID(TM) ZERO,2010
45400,FORTIX,2010
49600,BEAT HAZARD,2010
901399,SAM & MAX: THE DEVIL'S PLAYHOUSE,2010
43500,M.U.D. TV,2010
45302,WINGS OF LUFTWAFFE ADD-ON,2010
40930,THE MISADVENTURES OF P.B. WINTERBOTTOM,2010
39640,AQUANOX 2: REVELATION,2003
39630,AQUANOX,2001
23150,FLUTTABYES,2010
50940,HIDDEN EXPEDITION: TITANIC,2006
50920,HIDDEN EXPEDITION: AMAZON,2008
34178,NAPOLEON: TOTAL WAR(TM) - COALITION BATTLE PACK,2010
37340,FITNESS DASH(TM),2008
37390,GEMINI LOST(TM),2009
37310,DINERTOWN DETECTIVE AGENCY(TM),2009
37360,MAHJONG ROADSHOW(TM),2007
49000,HOTEL DASH(TM) SUITE SUCCESS(TM),2009
37330,NIGHTSHIFT LEGACY: THE JAGUAR'S EYE(TM),2010
37320,THE NIGHTSHIFT CODE(TM),2008
37370,TRIJINX: A KRISTINE KROSS MYSTERY(TM),2007
37380,VALERIE PORTER AND THE SCARLET SCANDAL(TM),2009
19080,BIOZONE,2010
31700,IRON GRIP: WARLORD,2008
19030,ROCKET KNIGHT,2010
50820,MAX AND THE MAGIC MARKER,2010
49800,FLIGHT OF THE ICARUS,2010
33650,PUZZLER WORLD,2010
901478,PRINCE OF PERSIA: THE FORGOTTEN SANDS(TM) DIGITAL DELUXE EDITION,2010
33660,ZIRO,2010
34281,ALTERED BEAST(TM),2010
34272,COMIX ZONE(TM),2010
34270,SEGA MEGA DRIVE AND GENESIS CLASSICS,2010
34276,GOLDEN AXE(TM),2010
34274,ECCO THE DOLPHIN(TM),2010
34275,GAIN GROUND(TM),2010
34277,SHINOBI(TM) III: RETURN OF THE NINJA MASTER,2010
34273,CRACK DOWN(TM),2010
34280,VECTORMAN(TM),2010
34278,SONIC 3D BLAST(TM),2010
34282,SHADOW DANCER(TM),2010
34279,SPACE HARRIER(TM) II,2010
34010,ALPHA PROTOCOL(TM),2010
22610,ALIEN BREED: IMPACT,2010
22440,FALLOUT 3 - POINT LOOKOUT,2010
18508,DEFENSE GRID: RESURGENCE MAP PACK 1,2010
22430,FALLOUT 3 - MOTHERSHIP ZETA,2010
22410,FALLOUT 3 - BROKEN STEEL,2010
22420,FALLOUT 3 - THE PITT,2010
630,ALIEN SWARM,2010
22400,FALLOUT 3 - OPERATION ANCHORAGE,2010
24780,SIMCITY(TM) 4 DELUXE EDITION,2003
33670,DISCIPLES III - RENAISSANCE STEAM SPECIAL EDITION,2010
40420,TIDALIS,2010
34920,RAZOR2: HIDDEN SKIES,2010
48136,THE SETTLERS 7: UNCHARTED LAND MAP PACK,2010
46720,DIMENSITY,2008
28000,KANE & LYNCH 2: DOG DAYS,2010
39680,THE GUILD II RENAISSANCE,2010
25962,HEARTS OF IRON III DLC: GERMAN II SPRITEPACK,2010
24634,TRAINZ SIMULATOR DLC: BLUE COMET,2010
63900,FANTASY WARS,2010
50130,MAFIA II,2011
24075,TRAIN SIMULATOR: NETWORK SOUTHEAST CLASS 47 LOCO ADD-ON,2010
47540,PUZZLE QUEST 2,2010
50510,BURN ZOMBIE BURN!,2010
25760,MADBALLS B*D*I CLAN SKINS,2010
25763,MADBALLS SCORCHED EVOLUTION SKIN ROLLUP,2010
25762,MADBALLS BDI EVOLUTION SKIN ROLLUP,2010
25764,MADBALLS HOLIDAY SKIN ROLLUP,2010
42980,VICTORIA I COMPLETE,2010
48800,SHIP SIMULATOR EXTREMES,2010
22600,WORMS RELOADED,2010
46770,MAKING HISTORY II: THE WAR OF THE WORLD,2010
65700,ARMA 2: BRITISH ARMED FORCES,2010
42960,VICTORIA II,2010
25761,MADBALLS SCORCHED CLAN SKINS,2010
28010,KANE & LYNCH 2: THE DOGGIE BAG,2010
28012,KANE & LYNCH 2: MULTIPLAYER MASKS PACK,2010
24640,TRAINZ: CLASSIC CABON CITY,2010
28011,KANE & LYNCH 2: ALLIANCE WEAPON PACK,2010
4850,COSSACKS: BACK TO WAR,2002
57640,BROKEN SWORD: DIRECTOR'S CUT,2010
62100,CHIME,2010
50145,MAFIA II DLC: JIMMY'S VENDETTA,2010
34841,SNIPER: GHOST WARRIOR - MAP PACK,2010
70300,VVVVVV,2010
48137,THE SETTLERS 7: CONQUEST - THE EMPIRE EXPANSION DLC,2010
57300,AMNESIA: THE DARK DESCENT,2010
70400,RECETTEAR: AN ITEM SHOP'S TALE,2010
46600,SWARM ARENA,2010
34314,SUPER THUNDER BLADE(TM),2010
34310,GALAXY FORCE II(TM),2010
70100,HACKER EVOLUTION,2010
70110,HACKER EVOLUTION: UNTOLD,2010
38600,FAERIE SOLITAIRE,2010
57620,PATRICIAN IV - STEAM SPECIAL EDITION,2010
34284,BONANZA BROS.(TM),2010
63910,KING'S BOUNTY: CROSSWORLDS,2010
24082,TRAIN SIMULATOR: GREEN & GOLD HST DMU ADD-ON,2010
8930,SID MEIER'S CIVILIZATION(R) V,2010
49310,COMMANDER: CONQUEST OF THE AMERICAS - COLONIAL NAVY,2010
41060,SERIOUS SAM CLASSIC: THE SECOND ENCOUNTER,2002
70900,STAR RULER,2010
9940,BLADE KITTEN,2010
22650,ALIEN BREED 2: ASSAULT,2010
901553,SERIOUS SAM HD: GOLD EDITION,2010
50620,DARKSIDERS(TM),2010
2840,X: BEYOND THE FRONTIER,1999
42920,THE KINGS' CRUSADE,2010
29700,GUILD WARS: EYE OF THE NORTH(R),2007
2850,X: TENSION,2000
61510,AGE OF WONDERS II: THE WIZARD'S THRONE,0
70200,GOVERNOR OF POKER 2,2010
70210,GOVERNOR OF POKER 2 - PREMIUM EDITION,2010
61520,AGE OF WONDERS SHADOW MAGIC,0
61500,AGE OF WONDERS,0
47790,MEDAL OF HONOR(TM),2010
46450,GROTESQUE TACTICS: EVIL HEROES,2010
45750,LOST PLANET(R) 2,2010
57800,DOC CLOCK: THE TOASTED SANDWICH OF TIME,2010
22380,FALLOUT: NEW VEGAS,2010
67000,THE POLYNOMIAL - SPACE OF THE MUSIC,2010
80300,PUZZLE BOTS,2010
50000,NIMBUS,2010
16868,CIVILIZATION V - BABYLON (NEBUCHADNEZZAR II),2010
18040,DEATHSPANK,2010
71115,VIRTUA FIGHTER(TM) 2,2010
34317,COLUMNS(TM) III,2010
71114,SWORD OF VERMILION(TM),2010
71112,GOLDEN AXE(TM) II,2010
71113,SONIC THE HEDGEHOG,2010
71111,FLICKY(TM),2010
71110,ESWAT(TM): CITY UNDER SIEGE,2010
34319,ECCO(TM): THE TIDES OF TIME,2010
34318,DECAP ATTACK(TM),2010
34316,BIO-HAZARD BATTLE(TM),2010
34315,ALIEN STORM,2010
6120,SHANK,2010
35460,THE BALL,2010
32500,STAR WARS(TM): THE FORCE UNLEASHED(TM) II,2010
62000,FLIGHT CONTROL HD,2010
33570,PATRICIAN III,2010
63700,BIT.TRIP BEAT,2010
46362,THEATRE OF WAR 2 - BATTLE FOR CAEN,2010
49320,WOODY TWO-LEGS: ATTACK OF THE ZOMBIE PIRATES,2010
72400,CLONES,2010
42964,VICTORIA II: INTERWAR SPRITEPACK,2010
43011,FRONT MISSION EVOLVED: WANZER PACK 2,2010
33980,POUND OF GROUND,2010
65710,PAT & MAT,2009
33990,ALTERNATIVA,2010
33950,FISH FILLETS 2,2007
65400,ARCHON CLASSIC,2010
42700,CALL OF DUTY(R): BLACK OPS,2010
38923,RHYTHM ZONE TORNADO VISUALIZER DLC,2010
72500,ARCADIA,2010
15740,ODDWORLD: MUNCH'S ODDYSEE,2010
38924,RHYTHM ZONE DJ TABLE VISUALIZER DLC,2010
15750,ODDWORLD: STRANGER'S WRATH HD,2010
45500,CLICKR,2010
31290,BACK TO THE FUTURE: THE GAME,2010
12100,GRAND THEFT AUTO III,2002
12120,GRAND THEFT AUTO: SAN ANDREAS,2005
35135,LARA CROFT GOL: RAZIEL AND KAIN CHARACTER PACK,2011
35137,LARA CROFT GOL: THINGS THAT GO BOOM - CHALLENGE PACK 2,2011
35138,LARA CROFT GOL: HAZARDOUS REUNION - CHALLENGE PACK 3,2011
35136,LARA CROFT GOL: ALL THE TRAPPINGS - CHALLENGE PACK 1,2011
12110,GRAND THEFT AUTO: VICE CITY,2003
33390,ZEIT2,2011
92300,A.R.E.S.: EXTINCTION AGENDA,2011
80000,APOX,2011
47780,DEAD SPACE(TM) 2,2011
51060,DRAWN(R): THE PAINTED TOWER,2011
